Model Name,Category
002_master_chef_can_flash2,Can
002_master_chef_can_realistic,Can
002_master_chef_can_surround2,Can
003_cracker_box_flash2,Package
003_cracker_box_realistic,Package
003_cracker_box_surround2,Package
004_sugar_box_flash2,Package
004_sugar_box_realistic,Package
004_sugar_box_surround2,Package
005_tomato_soup_can_flash2,Can
005_tomato_soup_can_realistic,Can
005_tomato_soup_can_surround2,Can
006_mustard_bottle_flash2,Bottle
006_mustard_bottle_realistic,Bottle
006_mustard_bottle_surround2,Bottle
007_tuna_fish_can_flash2,Can
007_tuna_fish_can_realistic,Can
007_tuna_fish_can_surround2,Can
008_pudding_box_flash2,Package
008_pudding_box_realistic,Package
008_pudding_box_surround2,Package
009_gelatin_box_flash2,Package
009_gelatin_box_realistic,Package
009_gelatin_box_surround2,Package
010_potted_meat_can_flash2,Can
010_potted_meat_can_realistic,Can
010_potted_meat_can_surround2,Can
011_banana_flash2,Fruit
011_banana_realistic,Fruit
011_banana_surround2,Fruit
012_strawberry_flash2,Fruit
012_strawberry_realistic,Fruit
012_strawberry_surround2,Fruit
013_apple_flash2,Fruit
013_apple_realistic,Fruit
013_apple_surround2,Fruit
014_lemon_flash2,Fruit
014_lemon_realistic,Fruit
014_lemon_surround2,Fruit
016_pear_flash2,Fruit
016_pear_realistic,Fruit
016_pear_surround2,Fruit
017_orange_flash2,Fruit
017_orange_realistic,Fruit
017_orange_surround2,Fruit
018_plum_flash2,Fruit
018_plum_realistic,Fruit
018_plum_surround2,Fruit
019_pitcher_base_flash2,Bottle
019_pitcher_base_realistic,Bottle
019_pitcher_base_surround2,Bottle
021_bleach_cleanser_flash2,Bottle
021_bleach_cleanser_realistic,Bottle
021_bleach_cleanser_surround2,Bottle
024_bowl_flash2,Kitchenware
024_bowl_realistic,Kitchenware
024_bowl_surround2,Kitchenware
025_mug_flash2,Kitchenware
025_mug_realistic,Kitchenware
025_mug_surround2,Kitchenware
026_sponge_flash2,Tool
026_sponge_realistic,Tool
026_sponge_surround2,Tool
027_skillet_flash2,Tool
027_skillet_realistic,Tool
027_skillet_surround2,Tool
029_plate_flash2,Kitchenware
029_plate_realistic,Kitchenware
029_plate_surround2,Kitchenware
033_spatula_flash2,Tool
033_spatula_realistic,Tool
033_spatula_surround2,Tool
035_power_drill_flash2,Tool
035_power_drill_realistic,Tool
035_power_drill_surround2,Tool
036_wood_block_flash2,Package
036_wood_block_realistic,Package
036_wood_block_surround2,Package
037_scissors_flash2,Tool
037_scissors_realistic,Tool
037_scissors_surround2,Tool
038_padlock_flash2,Tool
038_padlock_realistic,Tool
038_padlock_surround2,Tool
040_large_marker_flash2,Tool
040_large_marker_realistic,Tool
040_large_marker_surround2,Tool
048_hammer_flash2,Tool
048_hammer_realistic,Tool
048_hammer_surround2,Tool
051_large_clamp_flash2,Tool
051_large_clamp_realistic,Tool
051_large_clamp_surround2,Tool
052_extra_large_clamp_flash2,Tool
052_extra_large_clamp_realistic,Tool
052_extra_large_clamp_surround2,Tool
053_mini_soccer_ball_flash2,Ball
053_mini_soccer_ball_realistic,Ball
053_mini_soccer_ball_surround2,Ball
054_softball_flash2,Ball
054_softball_realistic,Ball
054_softball_surround2,Ball
055_baseball_flash2,Ball
055_baseball_realistic,Ball
055_baseball_surround2,Ball
056_tennis_ball_flash2,Ball
056_tennis_ball_realistic,Ball
056_tennis_ball_surround2,Ball
057_racquetball_flash2,Ball
057_racquetball_realistic,Ball
057_racquetball_surround2,Ball
058_golf_ball_flash2,Ball
058_golf_ball_realistic,Ball
058_golf_ball_surround2,Ball
061_foam_brick_flash2,Package
061_foam_brick_realistic,Package
061_foam_brick_surround2,Package
063-b_marbles_flash2,Toy
063-b_marbles_realistic,Toy
063-b_marbles_surround2,Toy
065-a_cups_flash2,Kitchenware
065-a_cups_realistic,Kitchenware
065-a_cups_surround2,Kitchenware
065-b_cups_flash2,Kitchenware
065-b_cups_realistic,Kitchenware
065-b_cups_surround2,Kitchenware
065-c_cups_flash2,Kitchenware
065-c_cups_realistic,Kitchenware
065-c_cups_surround2,Kitchenware
065-d_cups_flash2,Kitchenware
065-d_cups_realistic,Kitchenware
065-d_cups_surround2,Kitchenware
065-f_cups_flash2,Kitchenware
065-f_cups_realistic,Kitchenware
065-f_cups_surround2,Kitchenware
065-i_cups_flash2,Kitchenware
065-i_cups_realistic,Kitchenware
065-i_cups_surround2,Kitchenware
070-a_colored_wood_blocks_flash2,Toy
070-a_colored_wood_blocks_realistic,Toy
070-a_colored_wood_blocks_surround2,Toy
071_nine_hole_peg_test_flash2,Toy
071_nine_hole_peg_test_realistic,Toy
071_nine_hole_peg_test_surround2,Toy
072-b_toy_airplane_flash2,Toy
072-b_toy_airplane_realistic,Toy
072-b_toy_airplane_surround2,Toy
072-d_toy_airplane_flash2,Toy
072-d_toy_airplane_realistic,Toy
072-d_toy_airplane_surround2,Toy
073-b_lego_duplo_flash2,Toy
073-b_lego_duplo_realistic,Toy
073-b_lego_duplo_surround2,Toy
073-d_lego_duplo_flash2,Toy
073-d_lego_duplo_realistic,Toy
073-d_lego_duplo_surround2,Toy
073-e_lego_duplo_flash2,Toy
073-e_lego_duplo_realistic,Toy
073-e_lego_duplo_surround2,Toy
077_rubiks_cube_flash2,Toy
077_rubiks_cube_realistic,Toy
077_rubiks_cube_surround2,Toy
